"id";"uri";"titulo";"entidade";"entidadeUF";"entidadePais";"anoInicio";"anoFim"
"220614";"https://dadosabertos.camara.leg.br/api/v2/deputados/220614";"Secretário Municipal de Saúde";"Prefeitura da Cidade do Rio de Janeiro";"RJ";"BRASIL";"2021";"2022"
"220614";"https://dadosabertos.camara.leg.br/api/v2/deputados/220614";"Secretário Municipal de Saúde";"Prefeitura da Cidade do Rio de Janeiro";"RJ";"BRASIL";"2014";"2016"
"220614";"https://dadosabertos.camara.leg.br/api/v2/deputados/220614";"Professor pesquisador";"Fiocruz";"RJ";"BRASIL";"2008";"2023"
"220611";"https://dadosabertos.camara.leg.br/api/v2/deputados/220611";"Secretário de Assuntos Estratégicos";"Secretaria Especial de Assuntos Estratégicos da Presidência da República";"DF";"BRASIL";"2021";"2022"
"220611";"https://dadosabertos.camara.leg.br/api/v2/deputados/220611";"Secretário Executivo";"Ministério da Saúde";"DF";"BRASIL";"2020";"2020"
"220611";"https://dadosabertos.camara.leg.br/api/v2/deputados/220611";"Ministro de Estado";"Ministério da Saúde";"DF";"BRASIL";"2020";"2021"
"220607";"https://dadosabertos.camara.leg.br/api/v2/deputados/220607";"Secretário Estadual";"Secretaria de Infraestrutura e Obras do Estado do Rio de Janeiro";"RJ";"BRASIL";"2021";"2022"
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Bancário";"Banco do Brasil";"RJ";"BRASIL";"2011";""
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Professor";"Colégio Teresiano";"RJ";"BRASIL";"2007";""
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Professor";"Instituto Abel - Ass. Bras. Educ. Lass";"RJ";"BRASIL";"2004";"2008"
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Professor";"Colégio da Companhia de Maria";"RJ";"BRASIL";"2003";"2003"
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Professor";"Colégio da Companhia de Santa Teresa de Jesus";"RJ";"BRASIL";"1990";"1990"
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Bancário";"Banco do Estado de Minas Gerais";"MG";"BRASIL";"1984";"1987"
"220606";"https://dadosabertos.camara.leg.br/api/v2/deputados/220606";"Frade";"Ordem dos Frades Menores Capuchinhos";"RJ";"BRASIL";"1977";"2002"
"220604";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"Secretário de Meio Ambiente e Proteção Animal";"Prefeitura Municipal de Duque de Caxias";"RJ";"BRASIL";"2021";"2022"
"220602";"https://dadosabertos.camara.leg.br/api/v2/deputados/220602";"Secretário de Gestão e Metas";"Prefeitura Municipal de Maricá";"RJ";"BRASIL";"2021";"2022"
"220602";"https://dadosabertos.camara.leg.br/api/v2/deputados/220602";"Secretário Municipal de Saúde";"Prefeitura Municipal de São Gonçalo";"RJ";"BRASIL";"2014";"2018"
"220602";"https://dadosabertos.camara.leg.br/api/v2/deputados/220602";"Secretário de Governo";"Prefeitura Municipal de Magé";"RJ";"BRASIL";"2012";"2013"
"220601";"https://dadosabertos.camara.leg.br/api/v2/deputados/220601";"Prefeito";"Prefeitura Municipal de Maricá";"RJ";"BRASIL";"2009";"2016"
"220595";"https://dadosabertos.camara.leg.br/api/v2/deputados/220595";"Policial Militar";"Academia de Polícia Militar Costa Verde";"MT";"BRASIL";"1996";"2022"
"220594";"https://dadosabertos.camara.leg.br/api/v2/deputados/220594";"Comandante-Geral";"Comando Geral da Polícia Militar";"MT";"BRASIL";"2019";"2022"
"220591";"https://dadosabertos.camara.leg.br/api/v2/deputados/220591";"Secretária Municipal de Assistência Social";"Prefeitura Municipal de Sena Madureira";"AC";"BRASIL";"2017";"2018"
"220591";"https://dadosabertos.camara.leg.br/api/v2/deputados/220591";"Administradora/Empresária";"Casa da Castanha";"AC";"BRASIL";"2012";"2015"
